Faculty/Portfolio,School/Division,Organisational Unit Title
Chief Operating Officer and Senior Vice-President,Monash HR,Internal Placements and Temporary Recruitment
eSolutions and Student Services,Student Services,International Student Experience
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),International Student Recruitment
Chief Operating Officer and Senior Vice-President,Office of Student Recruitment and Admissions,International Student Recruitment
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Italian Studies
eSolutions and Student Services,eSolutions,IT Service Desk
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Japanese Studies
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Japanese Studies Centre
Faculty of Arts,School of Media Film and Journalism,Journalism
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Korean Studies
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Language and Society Centre
Provost and Senior Vice-President,Monash University Library,Law Library
Chief Operating Officer and Senior Vice-President,Monash HR,Leadership Development
Faculty of Business and Economics,Business and Economics Faculty Office,Leadership Executive Education Services
Provost and Senior Vice-President,Monash University Library,Library Education Division
Provost and Senior Vice-President,Monash University Library,Library Information Systems
Provost and Senior Vice-President,Monash University Library,Library Research Division
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Linguistics
Faculty of Arts,Arts Research Graduate Sch,Literary and Cultural Studies HDR Program
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Literary Studies
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Macromolecular Crystallisation Facility
Faculty of Engineering,Mechanical and Aerospace Engineering,Maintenance Technology Institute
Faculty of Business and Economics,Department of Accounting,Management Accounting and Accounting Information Systems
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Marketing Infrastructure
Chief Operating Officer and Senior Vice-President,Office of Student Recruitment and Admissions,Market Research and Analytics
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Market Research and Analytics
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Administration
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Animal Research Laboratory
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Large Animal Facility
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Monash Medical Centre
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP NH and MRC
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Pharmacy and Pharmaceutical Sciences
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Production and Large Animals
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,MARP Rodent Breeding and Research Facility
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,McKinnon Institute for Political Leaders
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Medical Imaging and Radiation Sciences
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Medicine Alfred Hospital
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Medicine Monash Health
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,Medicine Nursing and Health Sciences Education Portfolio
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Melbourne Centre for Nanofabrication
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Melbourne Sexual Health Clinic
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Metabolism Ageing Genomics
Faculty of Arts,School of Media Film and Journalism,MFJ Graduate Studies
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Microbiology
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Micromon
eSolutions and Student Services,eSolutions,Microsoft Services
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,MNHS Multimedia Unit
Provost and Senior Vice-President,Office of the Pro Vice-Chancellor (International),Monash Abroad
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (International),Monash Abroad
Faculty of Medicine Nursing and Health Sciences,Sub Faculty of Translational Medicine and Public Health,Monash Alfred Baker Centre for Cardiovascular Research
Faculty of Medicine Nursing and Health Sciences,Faculty of Medicine Nursing and Health Sciences Research Platforms,Monash Antibody Discovery Platform
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Monash Bioethics Centre
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Monash Bioinformatics Platform
Pro Vice-Chancellor (Research),Office of the Vice-Provost (Research and Research Infrastructure),Monash Biomedical Imaging
Provost and Senior Vice-President,Office of the Vice-Provost (Research and Research Infrastructure),Monash Biomedical Imaging
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Monash Biomedical Imaging
Faculty of Business and Economics,Monash Business School,Monash Business School BIB
Faculty of Business and Economics,Monash Business School,Monash Business School Entrepreneurship
Faculty of Business and Economics,Monash Business School,Monash Business School Executive Education
Faculty of Business and Economics,Monash Business School,Monash Business School Global Executive MBA
Faculty of Business and Economics,Monash Business School,Monash Business School Master of Project Management
Faculty of Business and Economics,Monash Business School,Monash Business School MBA
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Monash Centre for Electron Microscopy
Faculty of Business and Economics,Business and Economics External Engagement,Monash Centre for Financial Studies
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Monash Centre for Health Research and Implementation
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Monash Centre for Professional Development and Monash Online Education
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,Monash Centre for Scholarship in Health Education (MCSHE)
eSolutions and Student Services,Student Services,Monash Connect
eSolutions and Student Services,Monash Connect,Monash Connect Communications
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Monash Data Futures Institute
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Monash Education Academy
Provost and Senior Vice-President,Office of the Vice-Provost (Research and Research Infrastructure),Monash e-Research Centre
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Monash e-Research Centre
Faculty of Arts,School of Social Sciences,Monash Gender and Family Violence Prevention Centre
Faculty of Arts,School of Social Sciences,Monash Gender Peace and Security Centre
Faculty of Medicine Nursing and Health Sciences,Faculty of Medicine Nursing and Health Sciences Research Platforms,Monash Genome Modification Platform
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Monash Immunology and Stem Cell Laboratories
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Monash Indigenous Studies Centre (MISC)
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Monash Learning and Teaching
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Monash Metabolic Phenotyping Facility
Faculty of Medicine Nursing and Health Sciences,Faculty of Medicine Nursing and Health Sciences Research Platforms,Monash MicroImaging
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Monash Pearson Alliance
Chief Operating Officer and Senior Vice-President,Planning and Commercial Services,Monash Print Services
Vice-President (Services),Planning and Commercial Services,Monash Print Services
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Residential Services
Vice-President (Services),Campus Community Division,Monash Residential Services
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Residential Services Administration
Vice-President (Services),Campus Community Division,Monash Residential Services Administration
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Residential Services Operations
Chief Operating Officer and Senior Vice-President,Planning and Commercial Services,Monash Retail
Chief Operating Officer and Senior Vice-President,Planning and Commercial Services,Monash Retail Clayton Bookshop
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Sport
Vice-President (Services),Campus Community Division,Monash Sport
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Sport Caulfield
Vice-President (Services),Campus Community Division,Monash Sport Caulfield
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Sport Clayton
Vice-President (Services),Campus Community Division,Monash Sport Clayton
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Sport Participation Program
Vice-President (Services),Campus Community Division,Monash Sport Participation Program
Chief Operating Officer and Senior Vice-President,Campus Community Division,Monash Sport Peninsula
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Monash Sustainable Development Institute
Provost and Senior Vice-President,Office of the Vice-Provost (Research),Monash University Accident Research Centre
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Monash University Accident Research Centre
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,Monash University Clinical Trials Centre
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Monash University Department of Rural and Indigenous Health (MUDRIH)
Vice-Chancellor and President,Monash University Performing Arts Centres Operations,Monash University Performing Arts Centres Productions
Provost and Senior Vice-President,Monash University Library,Monash University Publishing
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,MSDI Research
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,MSDI Strategy and Engagement
Provost and Senior Vice-President,Monash Sustainable Development Institute,MSDI Water
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,MSDI Water
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,Musicology Ethnomusicology
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,National Trauma Research Institute (NTRI)
eSolutions and Student Services,eSolutions,Network Platforms
eSolutions and Student Services,eSolutions,North East Service Centre
eSolutions and Student Services,eSolutions,North West Service Centre
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Nutrition Dietetics and Food
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Obstetrics and Gynaecology at Monash Health
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Occupational Therapy
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Office of Research Ethics and Integrity
Provost and Senior Vice-President,Office of the Vice-Provost (Research),Office of Research Grants and Development
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Office of Research Grants and Development
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Office of the Pro Vice-Chancellor (Academic)
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Office of the Pro Vice-Chancellor (Indigenous)
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Office of the Pro Vice-Chancellor (Industry Partnerships)
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Office of the Pro Vice-Chancellor (Research)
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Office of the Pro Vice-Chancellor (Research Infrastructure)
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Office of the Pro Vice-Chancellor (Research Training)
eSolutions and Student Services,Student Services,Online Assessment and Integrity Services OASIS
Provost and Senior Vice-President,Monash University Library,Operations and Management Services Division
Vice-President (Services),Campus Community Division,Orientation and Transition Programs
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Paediatrics Monash Health
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Payment Services
Chief Financial Officer and Senior Vice-President,Purchasing to Payment Services,Payment Services
Chief Operating Officer and Senior Vice-President,Monash HR,Payroll Services and Payroll Compliance
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Peninsula Clinical School
Provost and Senior Vice-President,Monash University Library,Peninsula Library
Chief Operating Officer and Senior Vice-President,Campus Community Division,Peninsula Residential Services
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,Performance Classical
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,Performance Jazz/Pop
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Pharmacology
Provost and Senior Vice-President,Monash University Library,Pharmacy Library
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Philosophy
Faculty of Arts,Arts Research Graduate Sch,Philosophy HDR Program
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Physiology
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Physiotherapy
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Planetary Health
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Planning Engagement and Brand
Faculty of Arts,School of Social Sciences,Politics and International Relations
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,Popular Music
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Primary Care Research
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Process Improvement
Chief Financial Officer and Senior Vice-President,Purchasing to Payment Services,Process Improvement
Chief Operating Officer and Senior Vice-President,Monash HR,Professional and Academic Recruitment
eSolutions and Student Services,eSolutions,Project Management Office
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Protein Production Platform
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Proteomics Platform
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Psychiatry Monash Health
Faculty of Medicine Nursing and Health Sciences,School of Psychological Sciences,Psychology
Faculty of Medicine Nursing and Health Sciences,School of Psychological Sciences,Psychology Online
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (Indonesia),Public Health Indonesia
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (Indonesia),Public Policy Indonesia
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Purchasing Services
Chief Financial Officer and Senior Vice-President,Purchasing to Payment Services,Purchasing Services
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Quantitative Research Methods
eSolutions and Student Services,eSolutions,Records Management
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Rehabilitation Ageing and Independent Living RAIL Research Center
Chief Operating Officer and Senior Vice-President,Monash HR,Remuneration and Global Mobility
eSolutions and Student Services,eSolutions,Research and Education Services Domain
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Research and Revenue Accounting Services
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Research and Revenue Business Partnering
Chief Financial Officer and Senior Vice-President,Research and Revenue Accounting Services,Research and Revenue Business Partnering
Chief Financial Officer and Senior Vice-President,Research and Revenue Accounting Services,Research and Revenue Hub 1 Non Lab Based Faculties
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Research Finance Business Processes
Chief Financial Officer and Senior Vice-President,Research and Revenue Accounting Services,Research Finance Business Processes
Chief Operating Officer and Senior Vice-President,Campus Community Division,Residential Support
Vice-President (Services),Campus Community Division,Residential Support
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Respectful Communities
Vice-President (Services),Campus Community Division,Respectful Communities
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Revenue Accounting Services
Chief Financial Officer and Senior Vice-President,Research and Revenue Accounting Services,Revenue Accounting Services
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Revitalising Informal Settlements and their Environments (RISE)
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Risk and Compliance Unit
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Rural Health Bendigo
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Rural Health Churchill
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Rural Health East and South Gippsland
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Rural Health Gippsland
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Rural Health Mildura
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,Rural Nursing and Allied Health Program
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Scheduling Services
eSolutions and Student Services,Student Services,Scheduling Services
eSolutions and Student Services,Student and Education Business Services,Scheduling Services
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,School of Public Health and Preventive Medicine Health Economics Group
eSolutions and Student Services,eSolutions,Service Delivery Management
eSolutions and Student Services,eSolutions,Service Management Office (SMO)
eSolutions and Student Services,eSolutions,Shared and Campus Services
Provost and Senior Vice-President,Monash University Library,Sir Louis Matheson Library
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Slavic Studies
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Social Sciences Research
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Social Work
Faculty of Arts,School of Social Sciences,Sociology and Anthropology
eSolutions and Student Services,eSolutions,SOE Engineering
eSolutions and Student Services,eSolutions,South East Service Centre
eSolutions and Student Services,eSolutions,South West and Regional Service Centre
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Spanish and Latin American Studies
Chief Operating Officer and Senior Vice-President,Monash HR,Staff Equity and Diversity
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Stores
Chief Financial Officer and Senior Vice-President,Purchasing to Payment Services,Stores
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Strategic Delivery
eSolutions and Student Services,eSolutions,Strategic Operations
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Strategic Procurement
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Student Academic Success
eSolutions and Student Services,Student Services,Student and Education Business Services
eSolutions and Student Services,eSolutions,Student Domain
Chief Operating Officer and Senior Vice-President,Campus Community Division,Student Engagement and Campus Experience
Vice-President (Services),Campus Community Division,Student Engagement and Campus Experience
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Student Experience
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Student Fees
eSolutions and Student Services,Student Services,Student Fees
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Student Finance
eSolutions and Student Services,Student Services,Student Finance
eSolutions and Student Services,eSolutions,Student First
Chief Operating Officer and Senior Vice-President,Campus Community Division,Student Performance Representation and Engagement Programs (PREP)
Vice-President (Services),Campus Community Division,Student Performance Representation and Engagement Programs (PREP)
eSolutions and Student Services,eSolutions,Support Services and Engagement
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Surgery Alfred Hospital
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Surgery Monash Health
Provost and Senior Vice-President,Monash Sustainable Development Institute,Sustainable Development Education
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Sustainable Development Education
Chief Operating Officer and Senior Vice-President,Monash HR,Talent Development
Chief Operating Officer and Senior Vice-President,Monash HR,Talent Engagement and Development
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Tax Accounting
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Teaching and Learning
eSolutions and Student Services,eSolutions,Technology Services
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),The Centre for Ancient Cultures
Faculty of Arts,School of Languages Literature Cultures and Linguistics,The Monash Intercultural Lab (MIL)
Chief Operating Officer and Senior Vice-President,Planning and Commercial Services,The Monash Merchant
Vice-President (Services),Planning and Commercial Services,The Monash Merchant
Faculty of Art Design and Architecture,Department of Fine Art,Theory of Art and Design
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Translation Studies
Chief Financial Officer and Senior Vice-President,Capital Financing,Treasury
Chief Financial Officer and Senior Vice-President,Corporate Finance Division,Treasury
Faculty of Medicine Nursing and Health Sciences,School of Psychological Sciences,Turner Institute for Brain and Mental Health
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Ukrainian Studies
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Undergraduate Teaching Alfred Hospital
Chief Operating Officer and Senior Vice-President,Campus Community Division,University Health Service
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,University Planning and Performance
Provost and Senior Vice-President,Monash University Library,University Publishing
eSolutions and Student Services,eSolutions,User Device Services
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,Victorian Heart Institute (VHI)
eSolutions and Student Services,eSolutions,Virtual and Augmented Reality Services
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Water Sensitive Cities
eSolutions and Student Services,eSolutions,Web
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,William Cooper Institute
Faculty of Arts,School of Social Sciences,Womens Studies and Gender Research
Chief Operating Officer and Senior Vice-President,Monash HR,Workforce Analytics
Chief Operating Officer and Senior Vice-President,Monash HR,Workplace Relations
